Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C8",0402,2,1u,
"C11, C12, C13, C14, C15, C5, C6, C7, C9",0402,9,100n,
C17,0805,1,10u,
"C2, C3",0402,2,15p,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified,1,USB_B_Micro,
"J2, J5, J6, J7",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02,
"J3, J4",PinHeader_2x18_P2.54mm_Vertical,2,Conn_02x18_Odd_Even,
"R1, R5",0402,2,1k,
R2,0402,1,DNF,
"R3, R4",0402,2,27,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
