Designator,Mid X,Mid Y,Rotation,Layer
C10,4.0,6.485,90.0,top
C11,-6.485,3.0,180.0,top
C12,6.485,-1.2,0.0,top
C13,-6.485,-1.2,180.0,top
C14,0.381,-7.02,270.0,top
C15,6.485,4.0,0.0,top
C17,-14.885,22.0,0.0,top
C2,-1.3,-9.5,180.0,top
C3,1.3,-9.5,0.0,top
C5,-3.815,17.17,180.0,top
C6,-1.0,7.485,90.0,top
C7,1.5,-6.485,270.0,top
C8,3.0,6.485,90.0,top
C9,0.0,7.485,90.0,top
J1,0.0,28.3,180.0,top
J2,-8.89,24.735,180.0,top
J3,-22.855,4.425,0.0,top
J4,22.865,4.425,0.0,top
J5,10.1,10.075,180.0,top
J6,7.4,20.675,180.0,top
J7,8.5,-10.225,180.0,top
R1,-9.0,17.685,90.0,top
R2,-10.5,17.685,270.0,top
R3,1.0,6.485,270.0,top
R4,2.0,6.485,270.0,top
R5,-0.7,-6.5,270.0,top
U2,-6.95,12.725,270.0,top
U3,0.0,0.0,0.0,top
Y1,0.0,-12.3,0.0,top
